album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
1xsYj84j7hUDDnTTerGWlH,0.397,0.392,0.476,-7.583,0.0249,78.031,0.234
1QEEqeFIZktqIpPI4jSVSF,0.00088,0.377,0.681,-8.039,0.0298,108.789,0.285
1zB4vmk8tFRmM9UULNzbLB,0.00671,0.605,0.822,-4.833,0.0438,167.997,0.288
3CRDbSIZ4r5MsZ0YwxuEkn,0.0462,0.734,0.637,-5.677,0.141,169.977,0.648
6Nm8h73ycDG2saCnZV8poF,8.74E-05,0.591,0.963,-6.489,0.0531,125.03,0.609
2SiXAy7TuUkycRVbbWDEpo,0.00287,0.532,0.767,-5.509,0.0574,127.361,0.755
2DlHlPMa4M17kufBvI2lEN,0.000278,0.417,0.934,-3.908,0.119,127.066,0.287
7gSQv1OHpkIoAdUiRLdmI6,0.0504,0.765,0.476,-13.487,0.0329,114.02,0.965
7EZC6E7UjZe63f1jRmkWxt,0.0158,0.309,0.649,-8.994,0.035,166.915,0.312
2zYzyRzz6pRmhPzyfMEC8s,0.061,0.574,0.913,-4.793,0.133,115.728,0.423
4P5KoWXOxwuobLmHXLMobV,0.00016,0.5,0.824,-5.846,0.0388,120.125,0.539
0LQtEJt7x0s6knb6RKdRYc,0.645,0.566,0.713,-4.25,0.0418,169.861,0.805
3Pzh926pXggbMe2ZpXyMV7,0.0438,0.636,0.849,-7.075,0.106,156.036,0.917
11iIikXxC6NP0Ma8vMD27x,0.0807,0.467,0.757,-5.093,0.033,82.282,0.433
52ojopYMUzeNcudsoz7O9D,0.272,0.47,0.809,-6.74,0.0495,151.836,0.49
2hnMS47jN0etwvFPzYk11f,0.0268,0.682,0.765,-5.021,0.0395,90.807,0.567
37ZJ0p5Jm13JPevGcx4SkF,0.0778,0.532,0.887,-3.757,0.0335,122.511,0.795
2AYEOC02WLhUiOoaig2SEH,0.0387,0.545,0.968,-3.553,0.0853,169.965,0.527
5EWPGh7jbTNO2wakv8LjUI,0.0738,0.249,0.834,-8.21,0.0577,118.223,0.338
1Y373MqadDRtclJNdnUXVc,4.52E-05,0.412,0.658,-12.051,0.0708,163.071,0.454
1YLJVmuzeM2YSUkCCaTNUB,0.0416,0.492,0.81,-5.315,0.0847,149.954,0.245
08mG3Y1vljYA6bvDt4Wqkj,0.011,0.31,0.7,-5.678,0.047,188.386,0.763
1bp2IO61zbQrbWNmKKxg3f,0.365,0.596,0.448,-9.616,0.0396,83.293,0.796
2GiJYvgVaD2HtM8GqD9EgQ,0.00543,0.611,0.797,-7.627,0.0533,120.041,0.518
0ntQJM78wzOLVeCUAW7Y45,0.00172,0.542,0.905,-5.653,0.054,153.398,0.374
1G391cbiT3v3Cywg8T7DM1,0.0779,0.595,0.717,-4.803,0.0295,88.969,0.547
7j31rVgGX9Q2blT92VBEA0,0.0506,0.463,0.857,-3.063,0.0632,111.647,0.856
0ll8uFnc0nANY35E0Lfxvg,0.0794,0.453,0.655,-4.22,0.0259,172.012,0.368
6ZOBP3NvffbU4SZcrnt1k6,0.00664,0.545,0.865,-5.708,0.0286,99.009,0.543
3gdewACMIVMEWVbyb8O9sY,0.432,0.601,0.532,-9.119,0.0286,136.571,0.341
3Zwu2K0Qa5sT6teCCHPShP,0.00511,0.459,0.891,-5.057,0.0623,154.837,0.588
1jDJFeK9x3OZboIAHsY9k2,0.356,0.504,0.904,-6.863,0.179,176.808,0.772
7Ar4G7Ci11gpt6sfH9Cgz5,0.221,0.645,0.598,-13.18,0.0335,105.929,0.913
5zA8vzDGqPl2AzZkEYQGKh,0.0755,0.701,0.944,-2.986,0.0455,128.993,0.792
2xql0pid3EUwW38AsywxhV,0.114,0.648,0.594,-7.027,0.0293,113.983,0.544
6Qyc6fS4DsZjB2mRW9DsQs,0.00125,0.315,0.715,-8.072,0.0362,155.925,0.497
254bXAqt3zP6P50BdQvEsq,0.258,0.73,0.487,-10.991,0.0303,114.965,0.731
0G21yYKMZoHa30cYVi1iA8,0.0195,0.453,0.987,-4.485,0.0889,123.544,0.316
48UPSzbZjgc449aqz8bxox,0.0021,0.592,0.767,-2.788,0.027,96.483,0.328
200x8ONbPfFzByUr3fVz46,0.124,0.607,0.912,-3.449,0.0611,134.944,0.722
