album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
4WXFDVe299Po8ih6Np54n2,0.00161,0.445,0.907,-3.894,0.0773,165.069,0.71
7FwWRSAlhfyhbvybdfDUCe,0.453,0.648,0.639,-6.415,0.123,94.033,0.44
5icOoE6VgqFKohjWWNp0Ac,0.0623,0.791,0.565,-3.933,0.0439,99.961,0.181
2DGa7iaidT5s0qnINlwMjJ,0.0214,0.654,0.711,-7.437,0.0383,127.957,0.198
18uwL0vNUanqZH0ro2QcOP,0.607,0.795,0.178,-11.991,0.0574,93.982,0.608
7zsXy7vlHdItvUSH8EwQss,0.0736,0.608,0.798,-5.092,0.0432,92.943,0.501
3Z8FwOEN59mRMxDCtb8N0A,0.00776,0.63,0.633,-7.088,0.0457,93.995,0.452
3SKzTIl9mW0DadTys9SFo3,0.399,0.549,0.675,-5.637,0.0332,119.898,0.206
6tifCCTIVBLC2TmTquYG7G,0.000285,0.745,0.85,-3.903,0.075,138.03,0.54
4LIM4qmpHABufePRrLWbiM,0.993,0.451,0.0223,-26.117,0.0461,79.042,0.0573
7MIhUdNJtaOnDmC5nBC1fb,0.0112,0.687,0.818,-4.221,0.0778,125.952,0.886
3nEHrvNNtgLv9rneTAYVr4,0.0124,0.665,0.738,-5.931,0.0379,125.037,0.0389
6hmhG1b4LEyNuashVvuIAo,0.00312,0.583,0.732,-5.728,0.0457,145.992,0.276
13P5rwmk2EsoFRIz9UCeh9,0.0372,0.719,0.671,-6.279,0.0336,130.027,0.786
2qLSXZuIHMsKydCEFDchc3,0.531,0.729,0.581,-7.091,0.0304,93.997,0.352
7fZBQnc0zXwVybgCIrQQil,0.0582,0.845,0.797,-4.984,0.139,121.985,0.422
0OvO2X2Q3i98dc5RcgEN3x,0.0524,0.596,0.667,-5.651,0.0295,140.002,0.217
08bNPGLD8AhKpnnERrAc6G,0.205,0.626,0.88,-2.384,0.0504,95.079,0.534
03f7xZmt2wHCIDJBFPK8G4,0.254,0.595,0.689,-6.107,0.148,168.112,0.213
2e4jB31WcGsxKL1ByqdZCq,0.486,0.715,0.651,-9.241,0.12,134.914,0.733
0g5EKLgdKvNlln7TNqBByK,0.0141,0.583,0.695,-5.336,0.0423,104.879,0.224
4oaU0fMSg3n9kqOwmLPVhH,0.00704,0.376,0.939,-3.437,0.0572,190.109,0.815
5bcTCxgc7xVfSaMV3RuVke,0.0642,0.893,0.745,-3.105,0.0571,101.018,0.872
6u9RqxALwkjJ1ukB1y8vuP,0.00455,0.574,0.704,-4.72,0.0319,109.999,0.368
698ItKASDavgwZ3WjaWjtz,0.0281,0.468,0.627,-5.085,0.0476,179.642,0.159
1kQqiC1rS1FiuVpeBKN0QN,0.0348,0.872,0.786,-5.473,0.142,96.002,0.722
57kR5SniQIbsbVoIjjOUDa,0.0141,0.407,0.725,-5.346,0.188,196.093,0.247
5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,0.488,-7.05,0.0705,136.041,0.533
3OaunNUlXXs5e2PXtNAzzG,0.0742,0.536,0.879,-3.019,0.0621,140.137,0.334
2cGxRwrMyEAp8dEbuZaVv6,0.0422,0.775,0.585,-9.516,0.0271,109.942,0.518
1D2Aldrksl9yWWCIPOeDzy,0.479,0.733,0.859,-5.03,0.033,124.948,0.52
6gpcs5eMhJwax4mIfKDYQk,0.498,0.736,0.795,-3.299,0.0545,104.066,0.511
3zEN0ii6s4DHHBpnTp3RP7,0.0801,0.675,0.781,-5.404,0.0306,122.989,0.534
0g4fzRkbLeCDUCoe5iUOcf,0.323,0.789,0.534,-6.347,0.0709,134.055,0.631
6VrCmhRBFnuGKmtNfk4jDs,0.0145,0.546,0.822,-4.483,0.151,150.06,0.615
22mek4IiqubGD9ctzxc69s,0.0392,0.738,0.868,-4.373,0.0731,122.003,0.336
07nH4ifBxUB4lZcsf44Brn,0.0287,0.414,0.857,-4.078,0.0808,128.024,0.348
75ls0gurX68lUmMjE7QcsE,0.836,0.773,0.437,-8.281,0.0963,103.861,0.707
1pKYYY0dkg23sQQXi0Q5zN,0.00356,0.956,0.795,-5.311,0.15,121.294,0.841
500mvzh7TRZ0YdnVeHhj8b,0.0375,0.747,0.877,-3.782,0.0664,107.991,0.752
