track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
429IbFR4yp2J81CeTwF5iY,0.00305,0.487,0.898,-4.436,0.038,135.331,0.597
1TvNcWY7WwPLQINhimxycA,0.00854,0.465,0.517,-6.189,0.0284,136.176,0.137
5prYdqVZFzoOBj33WFTdJu,0.000244,0.494,0.884,-5.541,0.0455,140.314,0.265
07Bw7ACBw1xzhKpXrraskA,0.0808,0.65,0.641,-7.223,0.0347,118.229,0.387
7pyt9J4sp3cDgI0xkGrRiN,0.0245,0.547,0.728,-6.771,0.0283,114.189,0.391
7gAw3OKcrfeRWOFxWs7wgK,0.0169,0.619,0.853,-4.078,0.0345,124.177,0.499
7Jxz80MpbvTsrW8EttiaY0,0.133,0.528,0.428,-12.206,0.026,96.187,0.161
57g9uWuZI1t822eLvEVQjn,0.0,0.0,0.0,-60.0,0.0,0.0,0.0
38kjFXYgPvtuXCPbHPMGte,0.0258,0.517,0.779,-5.005,0.0477,115.206,0.197
0EfsDEYaSjGYd66Pr881nq,0.00269,0.581,0.656,-4.891,0.0294,108.033,0.338
4Tp4gRuDo1sIMP6gH9LwuH,0.0113,0.571,0.737,-6.53,0.027,127.975,0.0656
2u0CelO5c81XS7z3dGpHbS,0.131,0.245,0.64,-7.426,0.0608,135.739,0.105
5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,0.521,-9.461,0.0329,85.012,0.337
40gvh6jP5qxMJuMmF9lG9A,0.0687,0.21,0.499,-9.754,0.0485,74.094,0.108
6PS9AdyOKTPwlDPfLzJ7Ow,0.178,0.488,0.725,-7.692,0.0513,81.235,0.309
7xrwGUa11hnnxXWeTIzcHf,0.00235,0.442,0.652,-8.636,0.0405,75.576,0.18
5Ma3BlNVDtn3JiwMEafSaq,0.755,0.249,0.492,-7.108,0.0352,54.134,0.34
07VBqWH6NG8L2ad3l84UKk,0.00216,0.353,0.686,-5.704,0.0534,94.47,0.177
5r5Lj2MkgwQJz6TaBdL865,0.00614,0.543,0.946,-0.734,0.0454,117.962,0.547
4sebUbjqbcgDSwG6PbSGI0,0.0265,0.44,0.778,-1.786,0.0327,148.038,0.304
0tkBOcK7oRVXQJY97zzSvr,0.273,0.589,0.481,-4.801,0.0285,93.568,0.176
7JSXxBquAJDq28E6XQkJDL,0.00633,0.431,0.889,-1.763,0.0336,136.362,0.755
43O3Iu8mDJy10i6k8SVRXX,0.0289,0.71,0.847,-3.009,0.0892,119.944,0.65
00CqEmnPLFKDhAb3cuu6Cs,0.04,0.575,0.985,-1.038,0.0743,116.006,0.477
3zQJdKcFjiHEz7Xqum4bom,0.0147,0.417,0.897,-0.744,0.0498,127.276,0.733
1PmaWG47wJRCIOM9v8Bauo,0.143,0.63,0.939,-3.293,0.0323,104.993,0.629
6MtJnnoTMozorcmelPpy8Y,0.186,0.295,0.976,-1.267,0.107,136.771,0.261
2tznHmp70DxMyr2XhWLOW0,0.0807,0.636,0.676,-3.442,0.0263,113.98,0.273
7inCfDM4S3xsVzgOUqSJOH,0.0971,0.348,0.442,-7.676,0.0637,198.227,0.0674
2DBxhQbwnuXDioUVdL33S2,0.0137,0.547,0.639,-6.958,0.117,90.098,0.399
4Cdb1dE3pfiWlqnAIcImyQ,0.00213,0.587,0.744,-4.611,0.0742,118.962,0.236
6TA5aymvVrtiPVbuAwmPIc,9.45e-05,0.595,0.636,-5.981,0.0312,112.008,0.147
2K7xn816oNHJZ0aVqdQsha,0.0484,0.575,0.568,-5.509,0.03,93.986,0.37
2wXioTynVwrEWYRv6R6vEj,0.047,0.534,0.582,-7.912,0.0401,84.183,0.346
1zkXUXNHpYQTcXZAaZbeEp,0.00932,0.562,0.542,-7.221,0.053,78.031,0.26
6wbbeA1FcbqXiJs7aIA8x7,0.259,0.584,0.779,-5.656,0.0721,94.841,0.518
7zwn1eykZtZ5LODrf7c0tS,0.186,0.551,0.881,-6.099,0.0542,88.036,0.387
2xql0pid3EUwW38AsywxhV,0.114,0.648,0.594,-7.027,0.0293,113.983,0.544
3BQbwXb8lMLLRBeLl6HTu8,0.524,0.56,0.598,-8.386,0.0388,82.991,0.388
75iJMOH4oBobiRiBJVdw2m,0.209,0.677,0.716,-5.791,0.0348,83.004,0.304
4ymD0FxX1fnWszSu9rMAtD,0.347,0.582,0.615,-5.98,0.247,171.907,0.354
