track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
2vukoriV9e7oyOojN1NtsB,0.217,0.727,0.782,-3.586,0.0433,149.972,0.544
7LQvpgaadSh74HzYAjOisA,0.0231,0.734,0.808,-3.134,0.0472,127.02,0.387
5sSv2lotkWeHZ9YSTQrdbf,0.241,0.311,0.635,-3.501,0.0479,67.181,0.357
0q9IyhNXRse5fdfYEoFOdi,0.00899,0.567,0.844,-3.31,0.303,187.997,0.486
5vMQIOhLw85H8WYIf1kEWw,0.0427,0.555,0.944,-1.948,0.115,159.992,0.41
2pIUpMhHL6L9Z5lnKxJJr9,0.236,0.811,0.648,-3.684,0.0368,104.988,0.695
0a4MMyCrzT0En247IhqZbD,0.268,0.593,0.935,-3.43,0.225,99.976,0.783
2DwUdMJ5uxv20EhAildreg,0.0596,0.847,0.638,-3.764,0.0575,156.935,0.661
5expoVGQPvXuwBBFuNGqBd,0.731,0.599,0.446,-6.511,0.0833,179.877,0.567
0iLyNDLTsBkqB8SLAzNGxF,0.0531,0.504,0.741,-7.47,0.0421,84.046,0.486
7mpdNiaQvygj2rHoxkzMfa,0.285,0.795,0.781,-4.647,0.141,104.972,0.687
58ItBuVuKc03DvqSeZFnH1,0.444,0.536,0.727,-4.707,0.085,68.985,0.529
7nBjhYbLttb9LHZHqNuld5,0.0975,0.646,0.644,-6.192,0.0587,139.959,0.462
2nfluhFVrO5OBXPzRWlwlz,0.0435,0.695,0.579,-5.895,0.0506,88.98,0.347
1RGaIn89VUtXvJCXz1tDNb,0.0955,0.615,0.884,-4.983,0.0765,114.063,0.455
01qFKNWq73UfEslI0GvumE,0.0322,0.853,0.824,-3.287,0.103,108.044,0.888
6Xa9B3iE7bo3GkyUOVAhB9,0.000416,0.827,0.761,-5.425,0.154,108.01,0.378
5BKiMkWucQVb7wrFi29VtX,0.0221,0.865,0.785,-3.313,0.0483,108.031,0.836
7fQKDpB4i0hiQacjVCXVU2,0.0264,0.59,0.828,-6.049,0.0398,121.117,0.497
0TaaG2kxjzSjVbmmiiSZEa,0.0258,0.858,0.83,-3.261,0.0891,108.048,0.891
1ewYtP6BZlak8qokzZe4Bx,0.0946,0.84,0.889,-4.254,0.257,128.513,0.897
0dzT72K2RElXDMuMOyuKOI,0.0206,0.789,0.711,-4.053,0.125,90.848,0.457
6DKTGEAjKuUIdY57v7zMpC,0.395,0.577,0.448,-9.215,0.189,137.694,0.543
4CuZSJLlmUrEfcXUm6pQk9,0.00882,0.841,0.566,-5.501,0.289,95.941,0.269
7Bot6AB2dsvZEyqzUL8AUH,0.012,0.832,0.522,-7.244,0.05,150.044,0.253
0wHFktze2PHC5jDt3B17DC,0.111,0.902,0.582,-5.902,0.109,107.005,0.332
0LnS7aOdOdI1dNKZqdOLz4,0.00161,0.833,0.652,-6.942,0.0762,158.022,0.405
0203aGEIzVVlmvQ8lX4fmV,0.494,0.667,0.526,-8.561,0.281,101.954,0.503
3u8bblcJtOxxmGzJrviWLp,0.00461,0.829,0.488,-7.275,0.183,93.199,0.551
29SR6SFfjQJoddfmimHbQh,0.144,0.779,0.653,-5.977,0.206,69.056,0.841
5hNsSrWcClSp0tg4Jdd4UY,0.0784,0.973,0.433,-6.605,0.0892,120.055,0.933
3EMp20j5E42MxfFbsEsIvD,0.615,0.71,0.522,-9.102,0.36,96.448,0.37
22xea6Z2a8BbyVeCksSBX9,0.037,0.891,0.489,-8.14,0.135,93.515,0.794
5mSVnabiC2NDVIGfW3Znc4,0.283,0.878,0.523,-7.653,0.12,92.05,0.422
1hs54MGy1J69I52GvzsrbB,0.179,0.549,0.485,-8.477,0.322,112.029,0.626
3ioJs8DQw527GmqJIp5gZG,0.00508,0.677,0.557,-8.409,0.0694,150.127,0.1
0PyJRNmJvJJ5OmffwQf5we,0.16,0.846,0.603,-6.41,0.187,95.032,0.598
6uTPA1xlcsk6dbchB2dhzl,0.0452,0.785,0.897,-3.447,0.158,115.916,0.891
5z8PXrhJszWg8ejJ5alWo3,0.0305,0.725,0.908,-3.434,0.111,115.84,0.897
